127.0.0.1 - - [09/Apr/2022:11:11:08 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:11:23 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:11:28 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:11:38 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:11:38 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:18:25 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:18:26 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:18:36 +0700] "POST /assm-user/Login HTTP/1.1" 200 10781
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:18:39 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:18:40 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:19:48 +0700] "GET /assm-user/WEB-INF/classes/test/TestLoginServlet.java HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:19:48 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:19:58 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:19:59 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:20:00 +0700] "POST /assm-user/Login HTTP/1.1" 200 10781
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:20:02 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:20:03 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:21:03 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:21:03 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:23:36 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:23:36 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:23:37 +0700] "POST /assm-user/Login HTTP/1.1" 200 10781
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:31:43 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:31:43 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:32:34 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:32:34 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:33:54 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:33:55 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:33:57 +0700] "POST /assm-user/Login HTTP/1.1" 200 10781
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:34:00 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:34:00 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:35:13 +0700] "POST /assm-user/Login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:35:30 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:35:30 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:36:02 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:36:02 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:40:06 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:40:06 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:51:41 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:51:42 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:51:43 +0700] "POST /assm-user/Login HTTP/1.1" 200 10781
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:51:46 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:51:46 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:54:37 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:54:38 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:58:52 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:58:52 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:59:16 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:59:16 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:59:18 +0700] "POST /assm-user/Login HTTP/1.1" 200 10781
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:59:20 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:59:20 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
