127.0.0.1 - - [13/Apr/2022:14:07:18 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:07:30 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:07:31 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:07:41 +0700] "POST /assm-user/Login HTTP/1.1" 200 10781
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:07:44 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:07:44 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:08:36 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:08:37 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:08:38 +0700] "POST /assm-user/Login HTTP/1.1" 200 10781
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:08:42 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:08:42 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:09:04 +0700] "POST /assm-user/Login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:09:47 +0700] "POST /assm-user/Login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:11:12 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:11:12 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:11:14 +0700] "POST /assm-user/Login HTTP/1.1" 200 10781
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:11:17 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:11:17 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:11:18 +0700] "POST /assm-user/Login HTTP/1.1" 200 10781
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:11:20 +0700] "GET /assm-user/Login HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:11:20 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:11:21 +0700] "POST /assm-user/Login HTTP/1.1" 200 10781
